player_name,cluster
Marvin Williams,Arremessador Parado
Mason Plumlee,Big Interior
Matisse Thybulle,Arremessador Parado
Matt Thomas,Arremessador Versátil
Matthew Dellavedova,Big Espaçador
Maurice Harkless,Big Espaçador
Maxi Kleber,Arremessador Parado
Meyers Leonard,Arremessador Parado
Michael Carter-Williams,Infiltrador
Michael Porter Jr.,Big Espaçador
Mikal Bridges,Big Espaçador
Mike Conley,Infiltrador
Mike Muscala,Arremessador Parado
Mike Scott,Arremessador Parado
Miles Bridges,Big Espaçador
Mitchell Robinson,Big Interior
Mo Bamba,Big Espaçador
Monte Morris,Criador de Arremessos
Montrezl Harrell,Big Interior
Moritz Wagner,Big Espaçador
Myles Turner,Arremessador Parado
Nassir Little,Big Espaçador
Naz Reid,Big Espaçador
Nemanja Bjelica,Big Espaçador
Nerlens Noel,Big Interior
Nickeil Alexander-Walker,Big Espaçador
Nicolo Melli,Arremessador Parado
Nikola Jokic,Big Espaçador
Nikola Vucevic,Big Espaçador
Norman Powell,Big Espaçador
OG Anunoby,Big Espaçador
Omari Spellman,Arremessador Parado
Otto Porter Jr.,Arremessador Versátil
P.J. Tucker,Arremessador Parado
P.J. Washington,Big Espaçador
Pascal Siakam,Infiltrador
Pat Connaughton,Big Espaçador
Patrick Beverley,Arremessador Parado
Patrick McCaw,Big Espaçador
Patrick Patterson,Arremessador Parado
Patty Mills,Arremessador Versátil
Paul George,Arremessador Versátil
Paul Millsap,Infiltrador
Quinn Cook,Criador de Arremessos
Rajon Rondo,Infiltrador
Raul Neto,Infiltrador
Reggie Bullock,Arremessador Versátil
Reggie Jackson,Infiltrador
Richaun Holmes,Big Interior
Ricky Rubio,Criador de Arremessos
RJ Barrett,Infiltrador
Robert Covington,Arremessador Parado
Robin Lopez,Big Espaçador
Rodions Kurucs,Big Espaçador
Rodney Hood,Arremessador Versátil
Rodney McGruder,Big Espaçador
Rondae Hollis-Jefferson,Big Interior
Royce O'Neale,Arremessador Parado
Rudy Gay,Arremessador Versátil
Rudy Gobert,Big Interior
Rui Hachimura,Infiltrador
Russell Westbrook,Criador de Arremessos
Ryan Arcidiacono,Arremessador Parado
Sekou Doumbouya,Big Espaçador
Semi Ojeleye,Arremessador Parado
Serge Ibaka,Big Espaçador
Seth Curry,Arremessador Versátil
Shabazz Napier,Arremessador Versátil
Shai Gilgeous-Alexander,Infiltrador
Shake Milton,Big Espaçador
Shaquille Harrison,Infiltrador
Skal Labissiere,Big Interior
Solomon Hill,Arremessador Parado
Spencer Dinwiddie,Infiltrador
Sterling Brown,Arremessador Versátil
Steven Adams,Big Interior
Svi Mykhailiuk,Arremessador Parado
T.J. McConnell,Criador de Arremessos
T.J. Warren,Infiltrador
Taj Gibson,Big Interior
Taurean Prince,Arremessador Versátil
Terence Davis,Big Espaçador
Terrance Ferguson,Arremessador Parado
Terrence Ross,Arremessador Versátil
Terry Rozier,Arremessador Versátil
